Procedure,Category,Type,Task Object,Value,Human*,TARS,TARS*,Human,Criticality,Execution type,Constraint type,Time constraint (in s)
ENG FAILURE DURING TAKEOFF,EMER,SOP,"""Speed mode FLC V2, heading mode""",ANNOUNCE,yellow,yellow,green,,,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,"Autopilot",SET SPD MODE,green,,green,,,,,
,,,Autopilot,SET HDG MODE,green,,green,,,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,ATC,CONTACT,yellow,yellow,orange,orange,,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,ATC,LISTEN,green,green,red,,,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,ATC,READBACK,yellow,red,red,,,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,Altitude,CHECK 700ft AGL,yellow,yellow,green,,,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,"""700ft, engage autopilot""",ANNOUNCE,yellow,yellow,green,,,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,Autopilot,ENGAGE,green,green,orange,orange,,,,
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Altitude,CHECK 1500ft AGL,yellow,yellow,green,,,,,
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Airspeed,CHECK V2+10,yellow,yellow,green,,,,,
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Obstacles,CHECK Clear,yellow,red,red,,,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,"""Retract flaps""",Announce,yellow,yellow,green,,,,,
ENG FAILURE DURING TAKEOFF,EMER,Memory item,FLAP Handle,UP,green,red,red,,,,,
ENGINE FIRE,EMER,SOP,"""Affected thrust lever, confirm and idle""",ANNOUNCE,yellow,yellow,green,,,,,
ENGINE FIRE,EMER,SOP,"""Idle""",ANNOUNCE,green,red,red,,,,,
ENGINE FIRE,EMER,Memory Item,Throttle (affected engine),IDLE,green,red,red,,,,,
ENGINE FIRE,EMER,SOP,"""TOP""",ANNOUNCE,green,,green,,,,,
ENGINE FIRE,EMER,SOP,Chrono,START,green,,green,,,,,
ENGINE FIRE,EMER,Memory Item,Engine FIRE LIGHT,CHECK ON AFTER 15s,yellow,yellow,green,,,,,
ENGINE FIRE,EMER,Memory Item,Illuminated ENGINE FIRE Switch,LIFT COVER AND PUSH,green,red,red,,,,,
ENGINE FIRE,EMER,SOP,Checklist,ORDER START,yellow,yellow,green,,,,,
ENGINE FIRE,EMER,SOP,Radio,ALLOCATE,green,red,red,,,,,
ENGINE FIRE,EMER,SOP,Checklist,RETRIEVE,yellow,green,green,,,,,
ENGINE FIRE,EMER,Checklist,Immediate Action Item,CHECK DONE,green,red,red,,,,,
ENGINE FIRE,EMER,SOP,"""Affected thrust lever, confirm and cutoff""",ANNOUNCE,yellow,yellow,green,,,,,
ENGINE FIRE,EMER,SOP,"""cutoff""",ANNOUNCE,green,red,red,,,,,
ENGINE FIRE,EMER,Checklist,Throttle (affected engine),CUTOFF,green,red,red,,,,,
ENGINE FIRE,EMER,SOP,"""Affected engine fuel boost confirm off then norm""",ANNOUNCE,yellow,yellow,green,,,,,
ENGINE FIRE,EMER,SOP,"""off then norm""",ANNOUNCE,green,red,red,,,,,
ENGINE FIRE,EMER,Checklist,FUEL BOOST Switch (affected side),OFF,green,red,red,,,,,
ENGINE FIRE,EMER,Checklist,FUEL BOOST Switch (affected side),NORM,green,red,red,,,,,
ENGINE FIRE,EMER,Checklist,Engine FIRE LIGHT,CHECK ON AFTER 30s,yellow,yellow,green,,,,,
ENGINE FIRE,EMER,SOP,"""30 seconds, light remains on, bottle discharge""",ANNOUNCE,yellow,yellow,green,,,,,
ENGINE FIRE,EMER,SOP,"""discharge""",ANNOUNCE,green,red,red,,,,,
ENGINE FIRE,EMER,Checklist,Illuminated BOTTLE ARMED Switch,PUSH,green,red,red,,,,,
ENGINE FIRE,EMER,Checklist,Rotary Test,FIRE WARN,green,red,red,,,,,
ENGINE FIRE,EMER,Checklist,Engine fire lights,Check both illuminate,green,red,red,,,,,
ENGINE FIRE,EMER,Checklist,Next Checklist,ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,green,green,green,,,,,
ENGINE FIRE,EMER,,"Checklist",ANNOUNCE COMPLETED,green,red,red,,,,,
DECLARE EMERGENCY,EMER,SOP,ATC,ANNOUNCE EMERGENCY,yellow,green,orange,orange,,,,
DECLARE EMERGENCY,EMER,SOP,ATC,REQUEST VECTOR,yellow,green,orange,orange,,,,
DECLARE EMERGENCY,EMER,SOP,ATC,LISTEN,yellow,red,red,,,,,
DECLARE EMERGENCY,EMER,SOP,ATC,READBACK,yellow,red,red,,,,,
DECLARE EMERGENCY,EMER,SOP,Heading,SET ACCORDINGLY,yellow,yellow,red,,,,,
DECLARE EMERGENCY,EMER,SOP,FLC,SET ACCORDINGLY,yellow,yellow,red,,,,,
AFTER TAKEOFF,NORM,SOP,Checklist,ORDER START,yellow,yellow,green,,,,,
AFTER TAKEOFF,NORM,SOP,Checklist,RETRIEVE,green,green,green,,,,,
AFTER TAKEOFF,NORM,Checklist,LANDING GEAR Handle,UP,green,green,red,,,,,
AFTER TAKEOFF,NORM,Checklist,Airspeed,CHECK V2 + 12,yellow,yellow,green,,,,,
AFTER TAKEOFF,NORM,Checklist,Obstacles,CHECK CLEAR,yellow,yellow,red,,,,,
AFTER TAKEOFF,NORM,Checklist,FLAP Handle,UP,green,green,red,,,,,
AFTER TAKEOFF,NORM,Checklist,THROTTLES,CLB Detent,green,green,red,,,,,
AFTER TAKEOFF,NORM,Checklist,Yaw Damper,AS DESIRED,yellow,green,yellow,yellow,,,,
AFTER TAKEOFF,NORM,Checklist,Anti-Ice/Deice Systems,AS REQUIRED,yellow,green,red,,,,,
AFTER TAKEOFF,NORM,Checklist,PAX SAFETY Switch,AS REQUIRED,yellow,green,red,,,,,
AFTER TAKEOFF,NORM,Checklist,LANDING Light Switch,AS REQUIRED,yellow,green,red,,,,,
AFTER TAKEOFF,NORM,Checklist,Pressurization,CHECK,green,green,green,,,,,
AFTER TAKEOFF,NORM,Checklist,Altimeters (transition altitude),SET STD,green,green,green,,,,,
AFTER TAKEOFF,NORM,Checklist,Altimeters (transition altitude),CROSSCHECK,green,green,green,,,,,
AFTER TAKEOFF,NORM,Checklist,Checklist,ANNOUNCE COMPLETED,green,green,green,,,,,
AFTER TAKEOFF,NORM,Checklist,Next Checklist,ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,green,green,green,,,,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,SOP,Checklist,ORDER START,yellow,yellow,green,,,,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,SOP,Checklist,RETRIEVE,green,green,green,,,,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Throttle (affected engine),CUTOFF,yellow,yellow,red,,,,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,CAUTION text,READ,green,green,green,,,,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,GEN Switch (affected side),OFF,green,green,red,,,,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,IGNITION switch (affected side),NORM,green,green,red,,,,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Electrical Load,REDUCE as required (<= 300A),yellow,yellow,red,,,,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Fuel TRANSFER Knob,AS REQUIRED,yellow,yellow,red,,,,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Verify ENGINE FIRE Switch (affected side),Is pushed,green,green,green,,,,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,"Next checklist",SINGLE-ENGINE APPROACH AND LANDING,green,green,green,,,,,
